Exportaciones por Inciso Arancelario;;;;;;;;;;;;;;;;;;;;;;;;
Comercio General;;;;;;;;;;;;;;;;;;;;;;;;
Período: 2002 - 2025;;;;;;;;;;;;;;;;;;;;;;;;
-Cifras en US dólares-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Numero de Inciso;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025 p/
2905140000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;395;9163;7466;560;679;177;0;1300
29051600;1031425;1218413;1276834;1699537;702196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2905160000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.058 ;0;66 ;0;0;0;0 
29051700;29444;52.359 ;56.652 ;54486;109753;56.480 ;64.298 ;75.111 ;95.896 ;123.789 ;178.118 ;97.678 ;132954;187.444 ;157.760 ;3208;0;0;0;0;0;0;0;0
2905170000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161430;154.782 ;138.257 ;117.697 ;272131;590.056 ;566.160 ;358.316 ;276.718 
29051900;10710;53.407 ;283.523 ;520.829 ;381.698 ;28.397 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29051910;0;0;0;0;0;0;0;0;13006;71199;4698;503;0;717;0;0;0;0;0;0;0;0;0;0 
2905191000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3504;13239;2611;0;396;305;167;748
29051990;0;0;0;0;0;878.093 ;730.090 ;581.644 ;712.822 ;341724;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2905199100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.897 ;4.171 
29051999;0;0;0;0;0;0;0;0;0;0;271987;538456;891243;485174;855042;358;0;0;0;0;0;0;0;0
2905199900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1109262;1093458;132318;27294;105937;138778;228176;174013;5817
2905220000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
29052900;21;7294;678;0;9600;0;2110;7200;0;0;0;0;1023;12916;10960;0;0;0;0;0;0;0;0;0 
2905290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5525;10138;11598;10106;6205;47992;15943;8395;11944
29053100;5052;5.177 ;2.571 ;4.522 ;29.771 ;307;21297;31804;0;0;2400;22216;7645;161;0;0;0;0;0;0;0;0;0;0
2905310000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;977;19352;9801;500;7541;9428;25.087 ;16.827 ;20.858 
29053200;3437;28138;61428;99840;167349;191353;390429;280.313 ;347612;386.773 ;411.784 ;326.691 ;191.416 ;418216;254443;0;0;0;0;0;0;0;0;0
2905320000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282248;402427;297390;288094;696389;842078;602970;496636;453878
29053900;17852;30368;8366;127314;71539;18610;4327;20039;29152;140570;2890;8396;2737;26491;16455;0;0;0;0;0;0;0;0;0 
2905390000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36305;40602;39474;6190;10906;44482;3020;41710;31331
29054100;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
2905410000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5225;0;0
29054200;0;0;0;0;2.300 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2905420000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
29054300;3492;1857;14746;14357;11017;16821;38011;36705;40837;33064;39832;46594;64675;66809;43366;0;0;0;0;0;0;0;0;0 
2905430000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61254;123021;162530;197114;125313;159008;288550;170955;168226
29054400;61317;34701;119613;119161;148195;222974;227366;44140;96225;93269;62828;185370;67007;75296;34385;0;0;0;0;0;0;0;0;0 
2905440000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37292;69144;151596;324536;318230;910000;728956;413207;374943
29054500;672.540 ;513.643 ;284.888 ;112.317 ;54.129 ;92.494 ;135.566 ;89.002 ;39.557 ;32.430 ;22.757 ;163.276 ;141.042 ;144.683 ;201.948 ;8098;0;0;0;0;0;0;0;0
2905450000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227.879 ;330.548 ;228.885 ;250.988 ;315.604 ;893.821 ;430.410 ;230.717 ;223.407 
29054900;15636;22628;2245;27967;17554;2035;12.033 ;34.527 ;11.559 ;14.023 ;16.351 ;20.826 ;24624;24618;2084;0;0;0;0;0;0;0;0;0
2905490000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10458;19232;19.535 ;31 ;17642;7462;15217;5879;9486
29055900;0;0;0;0;0;0;425;7.211 ;15.215 ;11.139 ;1.780 ;4.156 ;2.836 ;0;8380;0;0;0;0;0;0;0;0;0
2905590000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3145;29.144 ;27.111 ;58.309 ;42.546 ;59.907 ;34.278 ;21.484 ;38.843 
29061100;1.463 ;16.574 ;36.278 ;70.597 ;162.983 ;81.453 ;106.915 ;151.525 ;160.717 ;317.967 ;485.044 ;296.235 ;305.225 ;229.472 ;248.796 ;0;0;0;0;0;0;0;0;0
2906110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350.429 ;448.332 ;582.081 ;526.235 ;255.829 ;290.640 ;439.385 ;312.924 ;453.908 
29061200;0;0;0;3.690 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2906120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225 ;0;0;0 
29061300;0;20431;9.730 ;757;12664;9693;205630;53867;160.202 ;153.722 ;106.810 ;44.826 ;4.875 ;55298;4419;0;0;0;0;0;0;0;0;0
2906130000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.312 ;16.551 ;86.927 ;9.829 ;71.499 ;230.317 ;258027;2363;11748
29061400;0;567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29061900;77;716;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29061910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1909;0;0;0;0;0;0;0;0;0
29061990;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
2906199000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1281;0;0;126;0;7565
29062100;587;21836;1695;7739;5516;12901;4280;3068;5572;10805;4971;5076;10669;4783;4337;0;0;0;0;0;0;0;0;0
2906210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3013;7687;26080;15603;5290;5959;29361;4133;4948
29062900;0;2440;847 ;0;14409;0;1324;0;0;0;416;814;6.073 ;133;67;0;0;0;0;0;0;0;0;0
2906290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1694;968;0;0;635
29071100;528;2346;785;1014;500;3420;10088;895;1494;4713;4557;981;8379;4733;5904;0;0;0;0;0;0;0;0;0 
2907110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5517;5541;10660;11898;11150;7024;5576;12039;5393
2907120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954;0;0;0;0;0;67;0
29071300;0;8459;23547;95711;57906;72072;116842;215033;126918;75940;89648;43883;75214;11154;11646;0;0;0;0;0;0;0;0;0
2907130000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.303 ;41659;62304;28043;17090;109439;87188;58940;19628
29071500;0;0;0;0;4780;0;0;0;0;0;0;0;57;56;735;0;0;0;0;0;0;0;0;0 
2907150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640;1181;697;2799;460;751;417;7520;887
29071900;9774;17714;15260;24210;61641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29071990;0;0;0;0;0;13.186 ;2046;6308;10.528 ;16.061 ;7.663 ;4.561 ;15.510 ;10.825 ;13.168 ;0;0;0;0;0;0;0;0;0
2907199000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.036 ;16.940 ;14.584 ;17.771 ;11.579 ;4.565 ;8.708 ;98.815 ;16.240 
29072100;0;4000;9504;0;0;46;482;2731;15 ;4.110 ;460 ;870;0;222;819;0;0;0;0;0;0;0;0;0
2907210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6589;1467;58;0;58;69;0;289
29072200;0;2762;20048;23334;13735;45897;1766;2016;859;300;0;38416;1;22058;9597;0;0;0;0;0;0;0;0;0 
2907220000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13844;8040;5345;12546;7475;28053;7829;10467;2002
29072910;0;0;0;0;458;0;1373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29072990;0;0;2710;2950;1573;292;620 ;281 ;29925;0;0;0;42578;18187;12681;0;0;0;0;0;0;0;0;0
2907299000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21687;3156;0;3434;3480;65;1365;992;8221
29081000;0;0;0;0;1114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29081100;0;0;0;0;0;0;0;0;0;0;0;0;0;201;294;0;0;0;0;0;0;0;0;0
29081900;0;0;0;0;0;8806;33325;21763;50803;18093;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2908190000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;555;141;0
29082000;0;726 ;0;2405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29089000;0;937 ;515 ;8.096 ;669 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2908991000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9875;0;0
29089990;0;0;0;0;0;0;0;238 ;0;5.728 ;23.405 ;5.629 ;3.529 ;0;0;0;0;0;0;0;0;0;0;0
29091100;0;520;0;0;0;0;0;0;0;0;0;0;3056;0;0;0;0;0;0;0;0;0;0;0 
2909110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1721;0;1521;7586;8262;13394;14992
29091900;211097;202139;155093;181451;188290;140221;106738;125707;174395;238900;148189;108857;106640;106989;151182;0;0;0;0;0;0;0;0;0 
2909190000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88031;79153;40982;41555;11593;0;3481;13507;9575
29092000;0;0;0;0;0;0;2446;5320;5320;1176;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29093000;31 ;3.996 ;8.386 ;1.270 ;11.821 ;0;0;1.812 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29093090;0;0;0;0;0;0;0;0;0;0;2345;3880;598;485;1478;0;0;0;0;0;0;0;0;0 
2909309000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;2027;1681;1237
29094100;0;12537;2537;32.336 ;105233;1.670 ;12479;25540;0;14406;0;0;4.700 ;39087;2.350 ;0;0;0;0;0;0;0;0;0
2909410000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.292 ;20034;18470;6473;60713;3.718 ;41631;0;48699
29094200;1.300 ;0;0;500 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29094300;49314;72328;148690;93664;43116;295183;110159;244359;250375;235396;206.560 ;168.983 ;278.690 ;339.080 ;360.612 ;0;0;0;0;0;0;0;0;0
2909430000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;295.828 ;168.049 ;135.981 ;135.142 ;531.542 ;488.528 ;295.487 ;292.035 ;457.325 
29094410;0;0;0;0;0;0;7220;29488;39779;33527;33570;19302;0;0;0;0;0;0;0;0;0;0;0;0
2909441000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3984;182;0;0;0;0;0
29094490;0;0;0;0;0;0;0;16.555 ;18.843 ;10.124 ;8.065 ;9.731 ;3.146 ;0;0;0;0;0;0;0;0;0;0;0
2909449000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53 ;52 ;126 ;5.160 ;303 ;14.318 ;32.353 ;27.725 
29094900;22958;34280;64847;44015;173676;63.721 ;308.104 ;72974;112328;103.235 ;76628;80806;44365;57174;53.612 ;0;0;0;0;0;0;0;0;0
2909490000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.365 ;93.951 ;59.976 ;41.648 ;87.995 ;111.633 ;189.182 ;68.205 ;83.281 
29095000;17193;75259;6.971 ;11.455 ;3.697 ;2.457 ;3.280 ;29524;5454;8.031 ;65.617 ;30.149 ;60.352 ;89.488 ;161.103 ;0;0;0;0;0;0;0;0;0
2909500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.472 ;98.686 ;49.386 ;44.559 ;55.996 ;30.145 ;16.890 ;42.585 ;47.061 
29096000;0;0;52 ;0;0;0;0;0;1.393 ;6.351 ;955 ;1.498 ;2.127 ;0;0;0;0;0;0;0;0;0;0;0
2909600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30 ;789 ;40.723 ;39.900 ;101.242 ;63.364 ;0;9.096 ;8.923 
29101000;0;0;0;0;0;0;1.068 ;0;0;0;0;900;0;0;0;0;0;0;0;0;0;0;0;0
2910100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18594;15213;28930;30372;43939;68577;47378;42516
29102000;0;0;0;0;0;0;0;0;0;0;0;19250;0;0;0;0;0;0;0;0;0;0;0;0
29103000;0;1;0;0;0;614;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29109000;0;0;20 ;0;844 ;1.240 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2910900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;806 ;0;0;0;0;0;0;0;0 
29109090;0;0;0;0;0;0;0;0;0;0;550 ;0;0;0;0;0;0;0;0;0;0;0;0;0
29110000;351;0;630;8567;0;0;0;0;0;0;0;0;19917;0;0;0;0;0;0;0;0;0;0;0 
29121100;13544;9.623 ;10684;17.368 ;7633;14113;25335;20346;33740;38401;27.201 ;20186;45822;59475;42989;0;0;0;0;0;0;0;0;0
2912110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58058;56177;58850;45809;50047;101163;134332;66025;131491
29121200;0;0;0;0;0;0;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
2912120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112
29121900;0;7.429 ;18.671 ;35.835 ;37.757 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2912191000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0 
29121990;0;0;0;0;0;31365;32904;55000;118921;15377;45512;34791;51492;72501;37051;1360;0;0;0;0;0;0;0;0
2912199000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56637;51831;72362;268016;117629;133605;229453;140028;149276
29122100;837;1145;1385;3512;2362;1233;2602;0;38;6173;928;3410;2504;3864;7164;0;0;0;0;0;0;0;0;0 
2912210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5937;15436;6214;354;12;33 ;238;301;0
29122900;0;0;2926;0;1268;3.070 ;0;0;8.924 ;15.133 ;10.838 ;13.288 ;19.686 ;244.648 ;56.187 ;0;0;0;0;0;0;0;0;0
2912290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.928 ;12.735 ;60.164 ;100.862 ;22.472 ;29.868 ;58.637 ;72.260 ;74.098 
29123000;0;0;0;0;0;0;0;0;14.083 ;27.845 ;7.302 ;0;0;0;0;0;0;0;0;0;0;0;0;0
29124100;53632;88152;45719;36984;22977;25578;33046;21977;41680;56297;24539;30897;93738;88405;103150;0;0;0;0;0;0;0;0;0 
2912410000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39098;61654;85573;56579;79212;70234;49088;32236;32740
29124200;25945;41939;37463;7527;43821;7271;26699;81631;66188;57598;79223;136491;79683;11725;7237;0;0;0;0;0;0;0;0;0
2912420000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15115;27694;24494;24307;4212;29898;18915;6030;0
29124900;0;2470;0;0;0;0;12;114;0;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29124910;0;0;0;0;0;0;0;0;0;0;3314;16582;2128;10238;35163;0;0;0;0;0;0;0;0;0
2912491000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3460;0;0;49;0;126;562;0;0
29124990;0;0;0;0;0;0;0;0;0;0;0;0;3554;0;0;0;0;0;0;0;0;0;0;0
2912499000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0
29125000;0;0;0;0;0;0;0;0;0;0;0;4744;166;832;647;0;0;0;0;0;0;0;0;0 
2912500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;495;0;0;0;0;0;0;0
29126000;0;652;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29130000;565;2347;284;1307;540;451;435;788 ;688;1220;424;412;25006;3;583;0;0;0;0;0;0;0;0;0
2913000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;1.482 ;0;0;0;0;0 
29141100;514.880 ;878.021 ;506.966 ;509.585 ;474.252 ;802.756 ;734.131 ;524.346 ;676.516 ;795.084 ;847.218 ;757.621 ;757.009 ;410.907 ;257.196 ;0;0;0;0;0;0;0;0;0
2914110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;381.970 ;526.564 ;352.239 ;355.867 ;462.025 ;491.198 ;644.430 ;300.462 ;172.310 
29141200;89.750 ;66.285 ;137576;109.091 ;123602;129764;375207;65643;60.879 ;99.172 ;55.605 ;0;0;52.648 ;13.123 ;0;0;0;0;0;0;0;0;0
2914120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89.884 ;62.084 ;64.636 ;16.341 ;51.131 ;80.938 ;72.153 ;46.935 ;15.583 
29141300;340.929 ;381.851 ;660.740 ;679.477 ;769.507 ;515.989 ;600.421 ;54.211 ;44.054 ;89.694 ;12.667 ;32.388 ;130.200 ;281.400 ;83.789 ;0;0;0;0;0;0;0;0;0
2914130000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.063 ;25.110 ;18.587 ;5.838 ;15.004 ;0;2.479 ;92.692 ;21.367 
29141900;15.293 ;1.270 ;2.640 ;76.794 ;3.573 ;3.458 ;8 ;538 ;6.818 ;1.161 ;11.761 ;52 ;4.021 ;0;0;0;0;0;0;0;0;0;0;0
2914190000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;397 ;99 ;3.160 ;561 ;3.767 ;6.792 ;5.703 ;6.225 
29142100;2.211 ;6.643 ;16.653 ;21.691 ;32.069 ;27.536 ;44378;79158;155233;196136;4545;0;0;0;0;0;0;0;0;0;0;0;0;0
29142200;464;0;0;19460;0;107;0;0;0;0;0;0;16705;0;7944;0;0;0;0;0;0;0;0;0
2914220000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25535;0;0;0;0;425;0;0;0
29142900;765;11.134 ;3157;6.706 ;1.481 ;2789;18863;9750;12079;718;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29142910;0;0;0;0;0;0;0;0;0;0;142675;90553;171355;111174;90575;0;0;0;0;0;0;0;0;0
2914291000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98118;277051;334262;290221;207193;184756;184420;82036;146603
29142990;0;0;0;0;0;0;0;0;0;0;0;0;125;69;0;0;0;0;0;0;0;0;0;0 
2914299000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;3510;0;0;0
29143900;3588;1071;810;79;5700;15095;39520;51383;44442;27375;106896;379938;183938;24204;10470;0;0;0;0;0;0;0;0;0 
2914390000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33857;28229;30275;8932;14970;16961;159516;150774;127876
29144000;0;0;0;0;0;32718;36054;0;0;289;0;0;0;0;1127;0;0;0;0;0;0;0;0;0 
2914400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;257;374;80;823;430;24141;0;0
29145000;0;0;302;4312;532;410;201;0;0;29921;2742;2113;2203;4225;6086;0;0;0;0;0;0;0;0;0 
2914500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12290;17362;25949;31212;47354;96943;38468;18956;38192
29146900;7587;32110;7075;69211;30188;24018;21510;6763;16677;26564;33691;40433;2822;20113;2929;0;0;0;0;0;0;0;0;0 
2914690000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9903;35570;10448;11097;16452;4702;18958;19944;6607
29147000;0;5210;26873;10126;21704;7642;7848;0;6850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29147090;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;0;0;0;0
2914710000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0
2914790000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;179;0;1612;0
29151100;14685;13204;8930;22281;44629;39427;24401;17224;13138;44049;49479;26548;26142;10381;4906;0;0;0;0;0;0;0;0;0 
2915110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1900;4341;2436;28198;50890;58991;37322;117103;55551
29151200;11867;3550;17478;4885;6681;2751;6230;1867;2557;5228;9785;25887;9882;5414;3950;0;0;0;0;0;0;0;0;0 
2915120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7603;3330;12720;19599;36669;29624;7477;7972;6000
29151300;0;342;0;1201;0;0;0;0;0;0;26395;0;0;0;0;0;0;0;0;0;0;0;0;0
29152100;509226;732885;794747;852.259 ;1414477;929433;330397;4548;84.607 ;166299;46.530 ;68383;81430;17616;92078;0;0;0;0;0;0;0;0;0
2915210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172606;98934;31932;164964;410624;395014;466574;444204;280032
29152200;0;264;6400;19956;2813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29152400;0;15400;18.266 ;43928;26949;59.554 ;30.309 ;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2915240000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;86;254;1168;1346;30615;2086
29152900;1;5994;22033;0;5069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29152910;0;0;0;0;0;0;31;0;0;0;0;0;102;450;0;0;0;0;0;0;0;0;0;0
2915291000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304;3227;87555;130190;128156;176157;1970;913;11213
2915292000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0
29152990;0;0;0;0;0;1412;173 ;48831;588719;540027;327097;548.514 ;815676;397214;475594;0;0;0;0;0;0;0;0;0
2915299000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;755.377 ;605455;442810;217419;435156;322756;238478;575254;116843
29153100;779.939 ;878199;834.847 ;1577311;2325497;1594082;1290880;14246;24208;23760;51237;99207;12500;21460;165188;0;0;0;0;0;0;0;0;0
2915310000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224021;160420;45601;1218;13032;73917;37777;4409;22179
29153200;98812;187244;596321;674089;425598;711864;423113;824;78880;55572;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2915320000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;84044;0;0;65;0;48537;97265
29153300;162665;494705;402533;611758;924535;452980;2413;73448;17809;14769;71370;91686;33337;87763;33947;0;0;0;0;0;0;0;0;0
2915330000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73594;75.046 ;192882;216012;1066144;443.051 ;381.347 ;618.859 ;224.913 
29153400;0;666 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29153900;938888;187461;265289;333000;528685;146572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
29153910;0;0;0;0;0;0;0;0;59.089 ;36.057 ;35.845 ;213 ;0;0;0;0;0;0;0;0;0;0;0;0
2915391000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.955 ;23 ;0;0;0;0;0;0;0 
2915392000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;18291
29153990;0;0;0;0;0;778595;630815;450581;508771;366145;330597;314245;257650;224265;89530;0;0;0;0;0;0;0;0;0 
2915399000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176404;113094;439111;461425;954246;1113472;777209;701955;921767
29154000;0;0;0;0;0;0;0;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
2915400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8620;5860;2116;9668;8405;3787;16326;12953
29155000;23581;328646;18077;29393;24634;27023;127330;164571;426788;353813;388432;328906;379364;289479;279502;12.660 ;0;0;0;0;0;0;0;0 
2915500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;348430;414919;366100;455226;470366;588703;763437;688755;467493
29156000;7812;372;0;938;0;0;0;0;7552;3025;1273;2205;5342;6767537;2833319;0;0;0;0;0;0;0;0;0 
2915600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5123060;59849;26752;55716;58826;68938;80483;77125;112780
29157000;26863;36451;35194;60182;44915;72830;67388;110523;109953;77465;50551;55443;100985;175515;57126;0;0;0;0;0;0;0;0;0 
2915700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.128 ;139.383 ;93.992 ;123.073 ;347.766 ;251.260 ;292195;226677;344772
29159000;20.775 ;1.532 ;906 ;16.770 ;7.944 ;15.550 ;5.049 ;111.483 ;17.065 ;14.305 ;40058;89928;51466;38.215 ;78.752 ;325;0;0;0;0;0;0;0;0
2915900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86.605 ;19.263 ;10.813 ;36.502 ;33.478 ;32.609 ;68.620 ;197.510 ;68.550 
29161100;20629;9806;12983;98042;12834;23569;0;0;0;0;0;22.003 ;0;13 ;3 ;0;0;0;0;0;0;0;0;0
2916110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15500;0;0;0;26;0;0;0;0
29161200;0;726594;766384;922691;632535;247397;4473;3741;0;3150;0;0;492;4536;0;0;0;0;0;0;0;0;0;0 
29161300;0;68 ;0;88 ;88 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2916130000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26 ;0;0;0;0;0;0 
29161400;4909;0;0;0;0;0;0;9300;9.300 ;0;1.690 ;0;0;0;0;0;0;0;0;0;0;0;0;0
2916140000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 ;0;0;0;0;875 ;0;0 
29161500;825 ;214 ;0;15.585 ;46.372 ;26.665 ;400 ;2.841 ;10.178 ;7.192 ;6.229 ;7.773 ;0;5.749 ;1.272 ;0;0;0;0;0;0;0;0;0
2916150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;980 ;2.052 ;7.490 ;223 ;4.332 ;14.535 ;4.858 ;9.054 ;6.520 
