Exportaciones por Inciso Arancelario;;;;;;;;;;;;;;;;;;;;;;;;
Comercio General;;;;;;;;;;;;;;;;;;;;;;;;
Período: 2002 - 2025;;;;;;;;;;;;;;;;;;;;;;;;
-Cifras en US dólares-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Numero de Inciso;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025 p/
0106200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.064 ;0;17.500 
01063900;0;1600;0;150;0;5070;0;1500;2485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0106390000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.580 ;0;0;0;0;112.320 ;2.090.051 ;1.654.829 
01064900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419 ;0;0;0;0;0;0;0;0;0
0106490000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.323 ;125 ;1.312 ;4.738 ;961 ;3 ;4.023 ;280 
01069000;0;0;0;0;0;0;0;0;0;0;0;3037;630;145;600;0;0;0;0;0;0;0;0;0
0106900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1450;851;2460;2100;2150;1350;10185;1100;500
01069010;0;0;0;0;0;0;880;880 ;875 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01069090;6619;26849;29374;35.547 ;10585;20918;47163;9840;7460;1875;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02011000;0;0;11012;0;0;0;0;40018;6234236;5802094;5353875;495385;3140;0;0;0;0;0;0;0;0;0;0;0
02012000;0;0;0;9000;0;0;0;0;0;0;0;9.000 ;2.149 ;0;0;0;0;0;0;0;0;0;0;0
0201200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.878 ;0;0;0;0
02013000;29123;0;0;0;0;0;84143;185053;1410190;2672763;2.680.182 ;1.839.675 ;1702343;1040586;488.603 ;65242;0;0;0;0;0;0;0;0
0201300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;580403;168210;0;0;168;0;0;0;0
02021000;0;0;0;0;4582;0;0;0;0;0;241293;50374;0;0;382;0;0;0;0;0;35.194 ;0;0;0 
02022000;6.402 ;0;0;0;0;0;0;756 ;141.199 ;68.570 ;76.814 ;12.720 ;0;3.788 ;0;0;0;0;0;0;0;0;0;0
0202200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.711 ;2.293 ;35.428 ;2.975 ;527 ;0 
02023000;2.167.358 ;1.790.176 ;1.804.409 ;1.584.754 ;2.498.924 ;2.259.246 ;3.262.951 ;4.964.866 ;6.060.582 ;7.284.200 ;7113117;3402362;3693887;4221494;4198629;506231;0;0;0;0;0;0;0;0
0202300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4332272;6241794;8298494;5904115;7077223;6468461;6911440;7007295;11155296
02031100;37.827 ;84.684 ;1.084.002 ;3.135.632 ;3.680.895 ;3.116.545 ;2.063.414 ;446508;659572;1.761.333 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02031200;0;0;0;0;3912;141917;163364;0;0;10029;2;0;0;0;0;0;0;0;0;0;0;0;0;0
02031900;1182;20013;206.955 ;719639;558385;455600;795355;0;0;394.045 ;7313;0;0;0;0;0;0;0;0;0;0;0;0;0
02032100;0;7484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
02032200;0;0;49 ;0;0;0;0;1800;0;24.034 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0203220000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8319;8.194 ;9.770 ;58.930 ;0 
02032900;0;3622;44;0;127229;40728;47715;0;0;146303;0;0;121433;4078;0;0;0;0;0;0;0;0;0;0
0203290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25659;29850;52379;13422
02041000;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02043000;0;0;0;0;0;0;0;475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02044200;0;0;0;0;0;0;0;0;0;0;1.587 ;0;0;0;0;0;0;0;0;0;0;0;0;0
0205000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20 ;0;0;0;0;0;0 
02061000;50;0;0;0;600;7400;36069;17104;0;0;24 ;0;0;852;2325;0;0;0;0;0;0;0;0;0
0206100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;894;0;0;0;3090;0;0
02062100;0;0;0;0;0;0;0;0;5.971 ;5.698 ;403 ;0;0;0;0;0;0;0;0;0;0;0;0;0
0206210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.895 ;0;0;0;0
02062200;6.000 ;0;0;0;0;0;0;0;17.225 ;32.838 ;21.414 ;4.227 ;0;0;0;0;0;0;0;0;0;0;0;0
0206220000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.704 ;65 ;0;0;0
02062900;5254;0;0;0;0;0;0;0;10346;32938;19459;3136;0;0;0;0;0;0;0;0;0;0;0;0 
0206290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3971;463;0;0;0
0206309000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;325;0
02064910;3689;0;0;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
